baseline_hbm_bytes_model,d_head,dtype,est_tflops_p50,fused_hbm_bytes_model,kernel,p50_us,p99_us,seq_per_s_p50,seqlen,tok_per_s_p50
5242880,128,fp32,2.581110153846154,1048576,baseline,52.0,52.0,19230.76923076923,512,9846153.846153846
5242880,128,fp32,4.194304,1048576,fused,32.0,32.0,31250.0,512,16000000.0
4718592,128,bf16,2.855696340425532,524288,baseline,47.0,47.0,21276.59574468085,512,10893617.021276595
4718592,128,bf16,4.793490285714286,524288,fused,28.0,28.0,35714.28571428572,512,18285714.285714287
