dtype,hbm_model_reduction_x,p50_speedup_x,seqlen,tok_per_s_speedup_x
fp32,5.0,1.6774193548387097,512,1.6774193548387097
fp32,9.0,1.5507246376811594,1024,1.5507246376811594
fp32,17.0,1.2744186046511627,2048,1.2744186046511627
fp32,33.0,1.3551847437425506,4096,1.3551847437425508
bf16,9.0,1.7142857142857142,512,1.7142857142857146
bf16,17.0,1.6,1024,1.6000000000000003
bf16,33.0,1.3829787234042554,2048,1.3829787234042552
bf16,65.0,1.513157894736842,4096,1.513157894736842
